                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.656,                 1.0368,                 1.3003,                0.75909,                0.75023,                0.79574,                 0.3641,                 1.7504,                 1.0443,                  1.362,               0.003466,               0.003466,               0.003466
                     36,                 1.6864,                 1.0422,                 1.3479,                0.63102,                0.71429,                0.70277,                0.33991,                 1.8552,                 1.1967,                 1.3767,               0.003268,               0.003268,               0.003268
                     37,                 1.6742,                 1.0155,                 1.3124,                0.76658,                0.69388,                 0.7736,                0.39109,                 1.6899,                 1.0743,                 1.3191,                0.00307,                0.00307,                0.00307
                     38,                 1.6445,                0.99402,                 1.2882,                0.76131,                0.65095,                0.72471,                0.34218,                 1.7408,                 1.2455,                  1.338,               0.002872,               0.002872,               0.002872
                     39,                 1.6617,                 1.0667,                 1.3203,                0.80197,                0.74382,                0.81575,                0.39924,                 1.6329,                 1.0185,                 1.3173,               0.002674,               0.002674,               0.002674
                     40,                 1.6599,                0.97614,                 1.2971,                0.77342,                0.58503,                0.62621,                0.30839,                 1.8721,                 1.1282,                 1.4608,               0.002476,               0.002476,               0.002476
                     41,                 1.6301,                 1.0435,                 1.4079,                0.60592,                0.64626,                0.68133,                0.32003,                 1.7642,                  1.157,                 1.3956,               0.002278,               0.002278,               0.002278
                     42,                 1.6002,                0.94073,                 1.3142,                0.82062,                0.65306,                0.73549,                 0.3588,                 1.7462,                 1.0253,                 1.3485,                0.00208,                0.00208,                0.00208
                     43,                 1.5619,                0.92826,                 1.3507,                0.73097,                 0.7551,                0.78994,                0.37756,                 1.7163,                0.98014,                  1.322,               0.001882,               0.001882,               0.001882
                     44,                 1.5677,                0.96516,                 1.3783,                0.83659,                0.79592,                0.86478,                0.42917,                 1.5716,                 0.9285,                 1.2636,               0.001684,               0.001684,               0.001684
                     45,                 1.5111,                0.90264,                 1.2972,                0.81865,                0.82917,                 0.8449,                0.43614,                 1.6294,                0.89023,                 1.2603,               0.001486,               0.001486,               0.001486
                     46,                 1.5565,                0.86333,                 1.3064,                0.75033,                0.77687,                0.80703,                0.39569,                 1.6795,                0.98334,                 1.3071,               0.001288,               0.001288,               0.001288
                     47,                 1.4435,                0.84227,                 1.2808,                0.82202,                0.81633,                0.83629,                0.41393,                 1.5923,                0.89845,                 1.2498,                0.00109,                0.00109,                0.00109
                     48,                 1.4826,                0.87407,                  1.294,                0.80067,                0.82313,                0.84857,                 0.4349,                 1.5507,                0.86584,                 1.2409,               0.000892,               0.000892,               0.000892
                     49,                 1.4705,                0.83374,                 1.2717,                0.81415,                0.80272,                0.84344,                0.45005,                 1.4988,                0.85093,                  1.226,               0.000694,               0.000694,               0.000694
                     50,                 1.4579,                0.83301,                 1.2694,                0.80203,                0.81633,                0.85697,                0.47299,                 1.4779,                0.83183,                 1.2227,               0.000496,               0.000496,               0.000496
